regname,areaname,tername,KOATUU_2020,KATOTTG_2023
Харківська область,Красноградський район,м.Красноград,6323310100,UA63060050010042407
Херсонська область,м.Херсон,Суворовський район міста,6510136900,UA65100150010361097
Івано-Франківська область,Городенківський район,с.Чортовець,2621682101,UA26080030380074401
Одеська область,Біляївський район,с.Червона Гірка (Кам'янська сільрада),5121083203,UA51100090140023172
Київська область,Васильківський район,с.Залізне (Крушинська сільрада),3221484004,UA32140070060088633
Вінницька область,Немирівський район,с.Велика Бушинка,0523080801,UA05020170070092290
Житомирська область,м.Житомир,Корольовський район міста,1810136600,UA18040190010281147
Харківська область,м.Харків,Московський район міста,6310137500,UA63120270010315719
Чернігівська область,Чернігівська область,м.Прилуки,7410700000,UA74080130010045104
Закарпатська область,Тячівський район,с.Калини,2124482801,UA21080070030085352
Одеська область,Білгород-Дністровський район,с.Випасне,5120882001,UA51040130040010371
Запорізька область,Запорізька область,м.Бердянськ,2310400000,UA23020050010019935
Одеська область,Біляївський район,с.Усатове,5121085201,UA51100330010025010
м.Київ,м.Київ,Деснянський район міста,8036400000,UA80000000000336424
м.Київ,м.Київ,Солом'янський район міста,8038900000,UA80000000000980793
Івано-Франківська область,Івано-Франківська область,м.Івано-Франківськ,2610100000,UA26040190010045761
Кіровоградська область,Новомиргородський район,м.Новомиргород,3523810100,UA35060130010042714
Миколаївська область,Вознесенський район,смт Олександрівка,4822055200,UA48040190010081999
Полтавська область,Полтавська область,м.Лубни,5310700000,UA53040030010081016
Харківська область,м.Харків,Комінтернівський район міста,6310136900,UA63120270010736370
Одеська область,м.Одеса,Київський район міста,5110136900,UA51100270010196805
Львівська область,Жидачівський район,м.Ходорів,4621510500,UA46100270010046817
Харківська область,Дергачівський район,с-ще Дворічний Кут (Полівська сільрада),6322080901,UA63120250070010605
Київська область,Броварський район,с.Зазим'я,3221282801,UA32060090010046220
Рівненська область,Дубровицький район,с.Мочулище,5621885401,UA56080070240026174
Кіровоградська область,Устинівський район,с.Докучаєве,3525884401,UA35040330070080203
Рівненська область,Острозький район,с.Данилівка (Кутянківська сільрада),5624283604,UA56060450180087746
Донецька область,Мар'їнський район,с-ще Дачне,1423381501,UA14160110130045062
Хмельницька область,Славутський район,с.Малий Правутин (Малоправутинська сільрада),6823980614,UA68060010110050901
Одеська область,Біляївський район,м.Біляївка,5110500000,UA51100030010096432
Дніпропетровська область,м.Дніпропетровськ,Індустріальний район міста,1210137200,UA12020010010231764
Рівненська область,Березнівський район,с.Бистричі,5620481801,UA56060030040058279
Дніпропетровська область,м.Кривий Ріг,Центрально-Міський район міста,1211037500,UA12060170010720279
Сумська область,м.Суми,Зарічний район міста,5910136300,UA59080270010111002
Дніпропетровська область,м.Дніпропетровськ,Амур-Нижньодніпровський район міста,1210136300,UA12020010010114149
м.Київ,м.Київ,Шевченківський район міста,8039100000,UA80000000001078669
Запорізька область,м.Запоріжжя,Ленінський район міста,2310136900,UA23060070010228148
Харківська область,Краснокутський район,смт Краснокутськ,6323555100,UA63020090010052615
Донецька область,Костянтинівський район,с.Ілліча,1422482701,UA14120050010016211
Полтавська область,м.Полтава,Октябрський район міста,5310137000,UA53080370010339303
Полтавська область,Миргородський район,с.Малі Сорочинці (Хомутецька сільрада),5323288203,UA53060230210048822
Харківська область,м.Харків,Індустріальний район міста,6310138200,UA63120270010158723
Дніпропетровська область,Криничанський район,смт Аули,1222055300,UA12040170020049602
Одеська область,Одеська область,м.Одеса,5110100000,UA51100270010076757
Дніпропетровська область,м.Кривий Ріг,Дзержинський район міста,1211036600,UA12060170010439451
Житомирська область,Попільнянський район,с.Лисівка,1824755404,UA18040230040083801
Одеська область,Одеська область,м.Іллічівськ,5110800000,UA51100370010020298
Львівська область,Буський район,с.Русилів (Балучинська сільрада),4620680802,UA46040090150072834
Кіровоградська область,Новоукраїнський район,с.Шишкине,3524087201,UA35060010120026615
Івано-Франківська область,м.Івано-Франківськ,с.Угорники,2610196601,UA26040190150033413
Харківська область,м.Харків,Жовтневий район міста,6310137900,UA63120270010565081
Миколаївська область,м.Миколаїв,Центральний район міста,4810137200,UA48060150010443183
Херсонська область,Верхньорогачицький район,с.Ушкалка,6521585501,UA65060050200057527
Донецька область,Першотравневий район,смт Ялта,1423955500,UA14140030020058899
м.Київ,м.Київ,Дніпровський район міста,8036600000,UA80000000000479391
Чернівецька область,Герцаївський район,с.Хряцька,7320786001,UA73060130120098755
Сумська область,Сумська область,м.Шостка,5911000000,UA59100170010017917
Львівська область,м.Львів,Шевченківський район міста,4610137500,UA46060250010615203
Волинська область,Маневицький район,смт Маневичі,0723655100,UA07040050010044229
Чернігівська область,Городнянський район,с.Тупичів,7421488401,UA74100370010042808
Чернігівська область,Городнянський район,м.Городня,7421410100,UA74100050010035827
Черкаська область,Маньківський район,смт Маньківка,7123155100,UA71060150010031935
Дніпропетровська область,Дніпропетровська область,м.Новомосковськ,1211900000,UA12100070010038698
Тернопільська область,Зборівський район,м.Зборів,6122610100,UA61040170010060494
Херсонська область,Чаплинський район,с.Павлівка,6525483001,UA65060190040098037
Харківська область,Харківська область,м.Куп'янськ,6310700000,UA63080090010026457
Полтавська область,Глобинський район,с.Весела Долина (Кринківська сільрада),5320684602,UA53020010080091417
Полтавська область,Лохвицький район,с.Лучка (Сенчанська сільрада),5322686602,UA53060290110046200
Дніпропетровська область,Верхньодніпровський район,смт Дніпровське,1221055400,UA12040050020044460
Рівненська область,Дубровицький район,с.Жадень,5621885004,UA56080110040039727
Волинська область,Маневицький район,с.Гута-Лісівська,0723684002,UA07040050090066618
Одеська область,Одеська область,м.Ізмаїл,5110600000,UA51080030010072039
Хмельницька область,Хмельницька область,м.Хмельницький,6810100000,UA68040470010096613
Київська область,Вишгородський район,м.Вишгород,3221810100,UA32100010010059200
Львівська область,Старосамбірський район,с.Дністрик (Ріп'янська сільрада),4625184302,UA46080170110036660
Донецька область,Донецька область,м.Краматорськ,1412900000,UA14120090010038661
м.Київ,м.Київ,Дарницький район міста,8036300000,UA80000000000210193
Черкаська область,м.Черкаси,Соснівський район міста,7110136700,UA71080490010259590
Тернопільська область,Гусятинський район,с.Раштівці,6121686301,UA61060110220057645
Кіровоградська область,Кіровоградська область,м.Світловодськ,3510900000,UA35080170010073614
Рівненська область,Сарненський район,м.Сарни,5625410100,UA56080170010061049
Харківська область,Зміївський район,смт Комсомольське,6321755600,UA63140110010076882
Тернопільська область,Теребовлянський район,с.Зарваниця,6125083610,UA61040190100050382
Одеська область,Болградський район,с.Василівка,5121481001,UA51060070010082409
Запорізька область,Пологівський район,м.Пологи,2324210100,UA23100190010032690
Вінницька область,Вінницька область,м.Козятин,0510500000,UA05120090010077573
Луганська область,Біловодський район,смт Біловодськ,4420655100,UA44140010010089375
Чернігівська область,Козелецький район,с.Бригинці,7422055106,UA74100190070076597
Хмельницька область,Полонський район,м.Полонне,6823610100,UA68060210010068447
Житомирська область,Житомирська область,м.Новоград-Волинський,1811000000,UA18080150010017476
Полтавська область,м.Кременчук,Крюківський район міста,5310436500,UA53020110010228624
Миколаївська область,м.Миколаїв,Заводський район міста,4810136300,UA48060150010139573
Одеська область,м.Одеса,Приморський район міста,5110137500,UA51100270010320268
м.Київ,м.Київ,Голосіївський район міста,8036100000,UA80000000000126643
Хмельницька область,Хмельницький район,с.Пархомівці,6825085401,UA68040470190041524
Донецька область,Донецька область,м.Артемівськ,1410300000,UA14020010010059145
Херсонська область,Голопристанський район,с.Чулаківка,6522386001,UA65080170010099065
Львівська область,Львівська область,м.Трускавець,4611500000,UA46020090010062870
Київська область,Іванківський район,смт Іванків,3222055100,UA32100050010050212
Кіровоградська область,м.Кіровоград,Кіровський район міста,3510136300,UA35040210010286392
Чернівецька область,Вижницький район,м.Вашківці,7320510400,UA73020070010063977
Житомирська область,Коростишівський район,м.Коростишів,1822510100,UA18040250010085012
Харківська область,Дергачівський район,смт Мала Данилівка,6322055900,UA63120130010037422
м.Київ,м.Київ,Печерський район міста,8038200000,UA80000000000624772
Донецька область,м.Маріуполь,Іллічівський район міста,1412336600,UA14140050010166965
Волинська область,Ратнівський район,с.Височне,0724281001,UA07060310050092217
Чернівецька область,Кіцманський район,с.Виноград (Нижньостановецька сільрада),7322586003,UA73020050040076017
Дніпропетровська область,Верхньодніпровський район,смт Новомиколаївка,1221055800,UA12040050030016744
Черкаська область,Уманський район,с.Степківка,7124387801,UA71060070100059746
Тернопільська область,Кременецький район,с.Старий Олексинець,6123487601,UA61020110110042971
Сумська область,м.Конотоп,с.Підлипне,5910490501,UA59020070040032122
Житомирська область,Новоград-Волинський район,с.Стриєва,1824085401,UA18080190010059030
Волинська область,Локачинський район,с.Затурці,0722482401,UA07020030010025894
м.Київ,м.Київ,Подільський район міста,8038500000,UA80000000000719633
Черкаська область,Христинівський район,м.Христинівка,7124610100,UA71060230010046648
Донецька область,Олександрівський район,с.Степанівка,1420387501,UA14120150150019189
Волинська область,Маневицький район,с.Боровичі,0723655401,UA07080130020012387
Івано-Франківська область,Косівський район,с.Стопчатів,2623655803,UA26100090090059393
Херсонська область,Голопристанський район,с.Кардашинка (Великокардашинська сільрада),6522381002,UA65080030070084788
Одеська область,Комінтернівський район,с.Сичавка,5122785801,UA51100410070022156
Волинська область,Локачинський район,с.Губин (Війницька сільрада),0722481202,UA07020030070095073
Вінницька область,Жмеринський район,с.Почапинці,0521084803,UA05060050230032166
Тернопільська область,Тернопільський район,с.Баворів,6125281702,UA61040110020087319
Херсонська область,м.Херсон,Комсомольський район міста,6510136600,UA65100150010217771
Полтавська область,м.Полтава,Ленінський район міста,5310136700,UA53080370010266780
Кіровоградська область,Кіровоградський район,с.Аджамка,3522580301,UA35040010010031697
Київська область,Київська область,м.Бровари,3210600000,UA32060050010081797
Львівська область,Городоцький район,м.Городок,4620910100,UA46060070010047335
Житомирська область,м.Житомир,Богунський район міста,1810136300,UA18040190010115253
Київська область,Київська область,м.Переяслав-Хмельницький,3211000000,UA32040110010043320
Запорізька область,Михайлівський район,смт Пришиб,2323355400,UA23040170020078963
Херсонська область,Херсонська область,м.Нова Каховка,6510700000,UA65060170010075325
Житомирська область,Олевський район,с.Зубковичі,1824410117,UA18060190180055870
Харківська область,Богодухівський район,м.Богодухів,6320810100,UA63020010010049442
Дніпропетровська область,м.Дніпродзержинськ,Дніпровський район міста,1210436600,UA12040150010118924
Львівська область,Сокальський район,с.Лещатів (Боб'ятинська сільрада),4624880202,UA46120110250037736
Черкаська область,Корсунь-Шевченківський район,м.Корсунь-Шевченківський,7122510100,UA71080170010098381
Вінницька область,м.Вінниця,Ленінський район міста,0510100000,UA05020030010063857
Сумська область,м.Суми,Ковпаківський район міста,5910136600,UA59080270010287243
Запорізька область,м.Запоріжжя,Заводський район міста,2310136600,UA23060070010385728
Сумська область,Тростянецький район,м.Тростянець,5925010100,UA59040130010060037
Волинська область,Волинська область,м.Володимир-Волинський,0710200000,UA07020010010041660
Луганська область,Старобільський район,с.Половинкине,4425184501,UA44140110200078099
м.Київ,м.Київ,Оболонський район міста,8038000000,UA80000000000551439
Рівненська область,Острозький район,с.Країв (Оженинська сільрада),5624286403,UA56060450240081654
Волинська область,Маневицький район,с.Чорниж,0723688201,UA07080130280092367
Чернігівська область,Менський район,м.Мена,7423010100,UA74020030010065172
Луганська область,Станично-Луганський район,смт Петрівка,4424855400,UA44160090020068430
Миколаївська область,Кривоозерський район,с.Берізки,4823980201,UA48080090030074647
Вінницька область,Тульчинський район,смт Кирнасівка,0524355300,UA05100150020043414
Чернігівська область,Ріпкинський район,с.Звеничів (Великовіська сільрада),7424480402,UA74100330180053749
Чернівецька область,Новоселицький район,с.Магала,7323083601,UA73060350010055735
Чернігівська область,Козелецький район,с.Карпилівка,7422055403,UA74100070040034976
Одеська область,Ширяївський район,с.Макарове,5125481901,UA51020310040024442
Одеська область,Ширяївський район,с.Никомаврівка (Саханська сільрада),5125485204,UA51140170070090728
Тернопільська область,Кременецький район,м.Кременець,6110700000,UA61020070010067494
Закарпатська область,Закарпатська область,м.Ужгород,2110100000,UA21100230010016545
Рівненська область,Гощанський район,с.Малинівка,5621285101,UA56060170210061934
Рівненська область,Корецький район,с.Невірків,5623085601,UA56060090120017456
Одеська область,Біляївський район,с.Дачне,5121082401,UA51100150010077639
Чернігівська область,Менський район,с.Стольне,7423010129,UA74020030330016638
Миколаївська область,Первомайський район,с.Катеринка (Кам'яномостівська сільрада),4825482202,UA48080070050048709
Харківська область,Коломацький район,смт Коломак,6323255100,UA63020070010093510
Сумська область,Сумська область,м.Охтирка,5910200000,UA59040110010017443
Львівська область,м.Львів,Личаківський район міста,4610137200,UA46060250010364817
Львівська область,Жовківський район,м.Дубляни,4622710200,UA46060250030012851
Запорізька область,м.Запоріжжя,Жовтневий район міста,2310136300,UA23060070010595678
Київська область,Бородянський район,смт Бабинці,3221055300,UA32080070020076965
Волинська область,Ківерцівський район,с.Прилуцьке,0710190003,UA07080170310085692
Черкаська область,Жашківський район,м.Жашків,7120910100,UA71060090010092249
Херсонська область,Іванівський район,с.Фрунзе,6522987001,UA65040030020041290
Полтавська область,Чорнухинський район,смт Чорнухи,5325155100,UA53040130010015298
Київська область,Київська область,м.Обухів,3211600000,UA32120110010071582
Київська область,Таращанський район,с.Антонівка (Косяківська сільрада),3224482302,UA32020190020013683
Львівська область,Львівська область,м.Червоноград,4611800000,UA46120130010071117
Запорізька область,м.Запоріжжя,Шевченківський район міста,2310137500,UA23060070010748330
Полтавська область,Новосанжарський район,с.Стовбина Долина,5323486401,UA53080310410045241
Чернівецька область,Сторожинецький район,с.Великий Кучурів,7324582001,UA73060050010068893
Закарпатська область,Закарпатська область,м.Мукачеве,2110400000,UA21040150010056148
Волинська область,Маневицький район,с.Старосілля,0723655413,UA07080130250090917
Сумська область,Краснопільський район,с.Хмелівка,5922355125,UA59080090380020145
Запорізька область,Запорізька область,м.Енергодар,2312500000,UA23040110010044100
Донецька область,Слов'янський район,смт Билбасівка,1424255600,UA14120210030090722
Київська область,Київська область,м.Бориспіль,3210500000,UA32040010010093209
Донецька область,Донецька область,м.Вугледар,1414800000,UA14040050010075856
Житомирська область,Житомирська область,м.Коростень,1810700000,UA18060090010074365
Чернігівська область,Чернігівська область,м.Ніжин,7410400000,UA74040250010023991
Черкаська область,Черкаська область,м.Канів,7110300000,UA71080150010077910
Закарпатська область,Рахівський район,м.Рахів,2123610100,UA21060050010040895
Житомирська область,Ємільчинський район,с.Бараші,1821780401,UA18080030010060384
Черкаська область,Жашківський район,с.Червоний Кут,7120989401,UA71060050080012581
Закарпатська область,Хустський район,с.Липча,2125385201,UA21120250170032812
Закарпатська область,Виноградівський район,смт Вилок,2121255300,UA21020090010056871
Волинська область,Турійський район,с.Кульчин,0725555102,UA07060430120071282
Донецька область,Волноваський район,смт Донське,1421555900,UA14040030020098017
Львівська область,м.Дрогобич,м.Стебник,4610670500,UA46020030020056516
Запорізька область,Мелітопольський район,с.Тамбовка (Семенівська сільрада),2323084004,UA23080250180059636
Сумська область,Шосткинський район,смт Вороніж,5925355300,UA59100170020081397
Сумська область,Липоводолинський район,с.Яловий Окіп (Берестівська сільрада),5923281202,UA59060070380017060
Тернопільська область,Бучацький район,с.Заривинці,6121281001,UA61060070130079949
Житомирська область,Новоград-Волинський район,с.Тупальці,1824086201,UA18080050290063549
Дніпропетровська область,м.Кривий Ріг,Жовтневий район міста,1211036300,UA12060170010378670
Вінницька область,Вінницький район,с.Лисогора (Ксаверівська сільрада),0520688903,UA05020310060026649
Дніпропетровська область,м.Дніпропетровськ,Самарський район міста,1210138400,UA12020010010475293
Житомирська область,Володарськ-Волинський район,смт Іршанськ,1821155400,UA18060070010083059
Чернігівська область,Ріпкинський район,смт Добрянка,7424455400,UA74100090010095098
Чернігівська область,Чернігівський район,с.Халявин,7425589101,UA74100270190086965
Донецька область,Донецька область,м.Красноармійськ,1413200000,UA14160210010099403
Вінницька область,Шаргородський район,с.Руданське,0525387201,UA05060150250081400
Львівська область,Яворівський район,с.Чернилява,4625888801,UA46140110760040047
Луганська область,Станично-Луганський район,с.Тепле,4424885501,UA44160010120057773
Закарпатська область,Виноградівський район,с.Букове (Буківська сільрада),2121280601,UA21020110030068404
Чернігівська область,м.Чернігів,Деснянський район міста,7410136300,UA74100390010122363
Київська область,Києво-Святошинський район,с.Петрушки,3222486001,UA32080130120014131
Львівська область,Сокальський район,м.Сокаль,4624810100,UA46120110010087965
Донецька область,Донецька область,м.Дзержинськ,1411200000,UA14020110010025394
Луганська область,Луганська область,м.Лисичанськ,4411800000,UA44120050010021900
Вінницька область,Погребищенський район,с.Дзюньків,0523481801,UA05020210150014031
Київська область,Баришівський район,с-ще Садове,3220286601,UA32060030070064733
Одеська область,Овідіопольський район,смт Великодолинське,5123755300,UA51100070010049456
Львівська область,Самбірський район,с.Вербівка (Садковицька сільрада),4624281609,UA46080010060052565
Чернівецька область,Новоселицький район,с.Тарасівці,7323088301,UA73060030070096088
Закарпатська область,Перечинський район,м.Перечин,2123210100,UA21100130010027304
Рівненська область,Млинівський район,с.Посників,5623855125,UA56040190310089956
Чернівецька область,Заставнівський район,м.Заставна,7321510100,UA73060190010067621
Рівненська область,Корецький район,с.Великі Межирічі,5623081001,UA56060090010093960
Львівська область,Львівська область,м.Стрий,4611200000,UA46100230010074173
Закарпатська область,Мукачівський район,с.Верхня Визниця,2122781401,UA21040130020022522
Сумська область,Кролевецький район,с.Дубовичі,5922683401,UA59020090220056437
Закарпатська область,Берегівський район,с.Косонь,2120485601,UA21020170010067414
Івано-Франківська область,Калуський район,с.Підмихайля,2622884802,UA26060190080076393
Київська область,Києво-Святошинський район,с.Малютянка,3222484201,UA32140030070014765
Львівська область,Старосамбірський район,с.Сусідовичі,4625185101,UA46080010300066767
Дніпропетровська область,м.Кривий Ріг,Довгинцівський район міста,1211036400,UA12060170010145934
Вінницька область,Оратівський район,с.Заруддя,0523181701,UA05020190150092283
Львівська область,Жовківський район,с.Артасів,4622780202,UA46060230020056894
Вінницька область,Вінницька область,м.Могилів-Подільський,0510400000,UA05080050010069812
Дніпропетровська область,Юр'ївський район,с.Вербуватівка,1225980502,UA12120130080062675
Одеська область,Біляївський район,с.Маяки,5121083901,UA51100210010011388
Волинська область,Ківерцівський район,м.Ківерці,0721810100,UA07080110010029699
Львівська область,Буський район,м.Буськ,4620610100,UA46040030010088253
Миколаївська область,м.Миколаїв,Ленінський район міста,4810136900,UA48060150010235917
Рівненська область,Зарічненський район,с.Кухітська Воля,5622282001,UA56020070150064068
Чернігівська область,Бахмацький район,с.Петрівське (Халимонівська сільрада),7420389005,UA74040030080084844
Чернігівська область,Бахмацький район,с.Петрівське (Халимонівська сільрада),7420389505,UA74040030070042326
Одеська область,Ренійський район,м.Рені,5124110100,UA51080070010065897
Житомирська область,Житомирський район,с.Іванівка,1822083001,UA18040030110027558
Сумська область,Роменський район,с.Великі Бубни,5924183201,UA59060110100010800
Полтавська область,Гадяцький район,м.Гадяч,5310300000,UA53060090010040802
Київська область,Іванківський район,с.Феневичі,3222086401,UA32100050740087417
Закарпатська область,Берегівський район,с.Запсонь,2120485603,UA21020170030072053
Харківська область,м.Куп'янськ,смт Куп'янськ-Вузловий,6310745700,UA63080090030044417
Рівненська область,Рівненський район,смт Квасилів,5624655300,UA56060470020082951
Чернівецька область,Вижницький район,м.Вижниця,7320510100,UA73020090010033414
Хмельницька область,Хмельницький район,с.Мала Колибань (Копистинська сільрада),6825083305,UA68040470140058120
Полтавська область,Кобеляцький район,смт Білики,5321855300,UA53080010010014619
Дніпропетровська область,м.Кривий Ріг,Саксаганський район міста,1211037000,UA12060170010585703
Дніпропетровська область,Магдалинівський район,с.Очеретувате,1222385501,UA12100050240044248
Миколаївська область,Баштанський район,с.Привільне,4820685301,UA48020170010089549
Черкаська область,Катеринопільський район,смт Єрки,7122255400,UA71020110010072711
Херсонська область,Каховський район,с-ще Червоний Перекоп,6523585501,UA65060090010025674
Рівненська область,Радивилівський район,с.Рудня (Пустоіванівська сільрада),5625883920,UA56040130190080643
Київська область,Баришівський район,с.Бзів,3220280401,UA32060010030029697
Дніпропетровська область,Софіївський район,с.Авдотівка (Новоюлівська сільрада),1225285502,UA12060270020075244
Чернівецька область,Вижницький район,с.Бережниця (Банилівська сільрада),7320580502,UA73020010020058340
Волинська область,Маневицький район,с.Красноволя,0723683501,UA07080130100086918
Львівська область,Миколаївський район,с.Рудники,4623087201,UA46100110210011652
Київська область,Києво-Святошинський район,м.Вишневе,3222410600,UA32080090010037585
Чернігівська область,Ічнянський район,с.Бакаївка,7421710105,UA74080030050036136
Дніпропетровська область,м.Дніпродзержинськ,Заводський район міста,1210436900,UA12040150010213957
Львівська область,Яворівський район,с.Глиниці (смт Краковець),4625855602,UA46140110190080840
Запорізька область,м.Запоріжжя,Орджонікідзевський район міста,2310137200,UA23060070010154443
Рівненська область,Володимирецький район,с.Кідри,5620885401,UA56020090030084730
Львівська область,Золочівський район,с.Погорільці (Підгайчиківська сільрада),4621884903,UA46060050130086709
Тернопільська область,Теребовлянський район,смт Микулинці,6125055400,UA61040290010086870
Черкаська область,Черкаський район,с.Вергуни,7124989002,UA71080470020011950
Рівненська область,Рокитнівський район,с.Карпилівка,5625083801,UA56080150120014529
Львівська область,Золочівський район,с.Білий Камінь (Білокамінська сільрада),4621880401,UA46040070020052627
Закарпатська область,Міжгірський район,с.Синевир,2122486901,UA21120230010059829
Київська область,Броварський район,смт Велика Димерка,3221255200,UA32060070010067563
Сумська область,Великописарівський район,с.Ямне,5921286301,UA59040030240040460
Сумська область,Недригайлівський район,смт Терни,5923555600,UA59060090020070314
Харківська область,м.Харків,Червонозаводський район міста,6310138800,UA63120270010681864
Київська область,Києво-Святошинський район,с.Гореничі,3222482001,UA32080010040086332
