KATOTTG_2023,KOATUU_2020,category,name,english name
UA01000000000013043,0100000000,region,Автономна Республіка Крим,Avtonomna Respublika Krym
UA01020000000022387,0120400000,district,Бахчисарайський,Bakhchysaraiskyi
UA01020010000048857,8536990200,hromada,Андріївська ,
UA01020010010075540,8536990201,village,Андріївка,
UA01020010020030666,8536990203,settlement,Сонячний,
UA01020030000085835,0120480400,hromada,Ароматненська ,
UA01020030010043419,0120480401,village,Ароматне,
UA01020030020095516,0120480402,village,Вікторівка,
UA01020030030055891,0120480403,village,Маловидне,
UA01020030040087481,0120480404,village,Рєпіне,
UA01020030050049624,0120480405,village,Розове,
UA01020050000056842,0120410100,hromada,Бахчисарайська ,
UA01020050010045207,0120410100,city,Бахчисарай,Bakhchysarai
UA01020050020067441,0120445100,urban village,Научний,
UA01020070000057731,8536990500,hromada,Верхньосадівська ,
UA01020070010032091,8536990501,village,Верхньосадове,
UA01020070020014815,8536990503,village,Дальнє,
UA01020070030047085,8536990504,village,Камишли,
UA01020070040094944,8536990505,village,Пироговка,
UA01020070050086891,8536990507,village,Поворотне,
UA01020070060053271,8536990509,village,Фронтове,
UA01020070070045196,8536990511,village,Фруктове,
UA01020090000085519,0120480800,hromada,Верхоріченська ,
UA01020090010083010,0120480801,village,Верхоріччя,
UA01020090020067096,0120480802,village,Баштанівка,
UA01020090030041920,0120480803,village,Кудрине,
UA01020090040049851,0120480804,village,Машине,
UA01020090050034207,0120480806,village,Передущельне,
UA01020090060030677,0120480807,village,Синапне,
UA01020110000025392,0120481300,hromada,Вілінська ,
UA01020110010021583,0120481301,village,Віліне,
UA01020110020095792,0120481302,village,Розсадне,
UA01020130000011846,0120481900,hromada,Голубинська ,
UA01020130010087113,0120481901,village,Голубинка,
UA01020130020090866,0120481902,village,Аромат,
UA01020130030030071,0120481903,village,Багата Ущелина,
UA01020130040048667,0120481904,village,Нижня Голубинка,
UA01020130050032578,0120481905,village,Новопілля,
UA01020130060054004,0120481906,village,Поляна,
UA01020130070069789,0120481907,village,Путилівка,
UA01020130080078137,0120481908,village,Соколине,
UA01020130090090603,0120481909,village,Сонячносілля,
UA01020150000013553,0120482200,hromada,Долинненська ,
UA01020150010060092,0120482201,village,Долинне,
UA01020150020085470,0120482203,village,Актачи,
UA01020150030038136,0120482202,village,Новеньке,
UA01020170000026113,0120482500,hromada,Залізничненська ,
UA01020170010043902,0120482501,village,Залізничне,
UA01020170020089142,0120482502,village,Білокам’яне,
UA01020170030079411,0120482503,village,Дачне,
UA01020170040066352,0120482504,village,Мостове,
UA01020170050089604,0120482505,village,Річне,
UA01020170060067566,0120482507,village,Тургенєвка,
UA01020170070056496,0120482506,settlement,Сирень,
UA01020190000077808,0120482900,hromada,Зеленівська ,
UA01020190010051671,0120482901,village,Зелене,
UA01020190020045232,0120482902,village,Богатир,
UA01020190030083840,0120482903,village,Многоріччя,
UA01020190040049837,0120482904,village,Нагірне,
UA01020190050073256,0120482905,village,Плотинне,
UA01020190060074109,0120482906,village,Щасливе,
UA01020210000031011,8536310300,hromada,Інкерманська ,
UA01020210010017308,8536310300,city,Інкерман,
UA01020230000086125,8536965300,hromada,Качинська ,
UA01020230010099876,8536965300,urban village,Кача,
UA01020230020084271,8536965301,village,Вишневе,
UA01020230030045170,8536965303,village,Орлівка,
UA01020230040072585,8536965305,village,Осипенко,
UA01020230050045167,8536965307,village,Полюшко,
UA01020250000083187,0120483600,hromada,Каштанівська ,
UA01020250010041753,0120483601,village,Каштани,
UA01020250020012476,0120483602,village,Відрадне,
UA01020250030075002,0120483603,village,Кочергіне,
UA01020250040058984,0120483604,village,Шевченкове,Shevchenkove
UA01020270000095791,0120483900,hromada,Красномацька ,
UA01020270010094080,0120483901,village,Красний Мак,
UA01020270020068295,0120483902,village,Залісне,
UA01020270030032403,0120483905,village,Ходжа Сала,
UA01020270040076507,0120483903,village,Холмівка,
UA01020290000023695,0120455300,hromada,Куйбишевська,
UA01020290010096881,0120455300,urban village,Албат,
UA01020290020050353,0120455301,village,Велике Садове,
UA01020290030054725,0120455302,village,Високе,
UA01020290040021024,0120455303,village,Мале Садове,
UA01020290050070320,0120455304,village,Отарчик,
UA01020290060054662,0120455305,village,Танкове,
UA01020310000028500,8536390700,hromada,Орлинівська ,
UA01020310010021633,8536390701,village,Орлине,
UA01020310020049917,8536390703,village,Гончарне,
UA01020310030041665,8536390705,village,Кизилове,
UA01020310040035606,8536390709,village,Новобобрівське,
UA01020310050051155,8536390711,village,Озерне,
UA01020310060088260,8536390713,village,Павлівка,
UA01020310070070381,8536390715,village,Передове,
