eoname,eotypename,eoedrpou,KATOTTG,KOATUU,category,id,years
Рафалівська загальноосвітня школа І-ІІІ ступенів Володимирецької районної ради Рівненської області,середня загальноосвітня школа,04590760,UA56020150010083249,5620855400,urban village,рафалвськазагальноосвтняшкола3ступволодимирецька,"2016, 2017, 2018, 2019, 2020, 2021"
Рафалівський ліцей Рівненської області,ліцей,04590760,UA56020150010083249,5620855400,urban village,рафалвськийлце,"2022, 2023, 2024, 2025"
Рафалівська загальноосвітня школа ІІ-ІІІ ступенів Володимирецької районної ради Рівненської області,середня загальноосвітня школа,04590760,UA56020150010083249,5620855400,urban village,рафалвськазагальноосвтняшкола3ступволодимирецька,"2016, 2017, 2018, 2019, 2020, 2021"
Харківське державне вище училище фізичної культури № 1 (загальноосвітні класи),спеціалізована школа,04591392,UA63120270010948820,6310136300,city,харквськедержавневищеучилищефзичнакультури1,2021
Харківське державне вище училище фізичної культури №1,спеціалізована школа,04591392,UA63120270010948820,6310136300,city,харквськедержавневищеучилищефзичнакультури1,"2024, 2025"
Харківське державне вище училище фізичної культури № 1 (загальноосвітні класи),спеціалізована школа-інтернат,04591392,UA63120270010948820,6310136300,city,харквськедержавневищеучилищефзичнакультури1,"2016, 2017, 2018, 2019, 2020"
Харківський фаховий коледж спорту,заклад фахової передвищої освіти,04591392,UA63120270010948820,6310136300,city,харквськийколеджспорт,"2023, 2024, 2025"
Харківський фаховий коледж спорту (загальноосвітні класи),спортивний ліцей,04591392,UA63120270010948820,6310136300,city,харквськийколеджспорт,"2022, 2023"
"Економічний коледж державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",вищий навчальний заклад I-II рівнів акредитації,04618613,UA80000000000875983,8038600000,city,економчнийколедждержавноговищогонавчальногозакладукивськийнацональнийекономчнийунверситетменвадимагетьман,2018
"Економічний коледж державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",заклад вищої освіти,04618613,UA80000000000875983,8038600000,city,економчнийколедждержавноговищогонавчальногозакладукивськийнацональнийекономчнийунверситетменвадимагетьман,"2019, 2020"
"Відокремлений структурний підрозділ ""Фаховий економічний коледж державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",заклад вищої освіти,04618613,UA80000000000875983,8038600000,city,економчнийколедждержавноговищогонавчальногозакладукивськийнацональнийекономчнийунверситетменвадимагетьман,2022
"Відокремлений структурний підрозділ ""Фаховий економічний коледж Київського національного економічного університету імені Вадима Гетьмана""",заклад фахової передвищої освіти,04618613,UA80000000000875983,8038600000,city,економчнийколеджкивськогонацональногоекономчногоунверситетуменвадимагетьман,"2023, 2024, 2025"
"Коледж економіки і управління Державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",вищий навчальний заклад I-II рівнів акредитації,04618613,UA80000000000980793,8038900000,city,коледжекономкиуправлнядержавноговищогонавчальногозакладукивськийнацональнийекономчнийунверситетменвадимагетьман,2018
"Фаховий економічний коледж державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",заклад вищої освіти,04618613,UA80000000000875983,8038600000,city,економчнийколедждержавноговищогонавчальногозакладукивськийнацональнийекономчнийунверситетменвадимагетьман,2021
Харківське обласне вище училище фізичної культури і спорту,спеціалізована школа-інтернат,05401005,UA63120270010216514,6310136600,city,харквськеобласневищеучилищефзичнакультуриспорт,"2016, 2017, 2018, 2019"
"КОМУНАЛЬНИЙ ЗАКЛАД ""ХАРКІВСЬКИЙ ФАХОВИЙ КОЛЕДЖ СПОРТИВНОГО ПРОФІЛЮ"" ХАРКІВСЬКОЇ ОБЛАСНОЇ РАДИ",спеціалізована школа,05401005,UA63120270010216514,6310136600,city,харквськийколеджспортивногопрофлюхарквськаобласно,"2022, 2023"
"Комунальний заклад ""Харківський фаховий коледж спортивного профілю"" Харківської обласної ради",заклад фахової передвищої освіти,05401005,UA63120270010216514,6310136600,city,харквськийколеджспортивногопрофлюхарквськаобласно,"2023, 2024, 2025"
"КОМУНАЛЬНИЙ ЗАКЛАД ""ХАРКІВСЬКИЙ ПРОФЕСІЙНИЙ КОЛЕДЖ СПОРТИВНОГО ПРОФІЛЮ"" ХАРКІВСЬКОЇ ОБЛАСНОЇ РАДИ",спеціалізована школа,05401005,UA63120270010216514,6310136600,city,харквськийпрофесйнийколеджспортивногопрофлюхарквськаобласно,2021
"Комунальний заклад ""Харківський професійний коледж спортивного профілю"" Харківської обласної ради",спеціалізована школа-інтернат,05401005,UA63120270010216514,6310136600,city,харквськийпрофесйнийколеджспортивногопрофлюхарквськаобласно,2020
"Державний професійно-технічний навчальний заклад ""Дніпровський регіональний центр професійно-технічної освіти""",заклад професійної (професійно-технічної) освіти,05536076,UA12020010010816623,1210136600,city,державнийпрофесйнотехнчнийнавчальнийзакладднпровськийрегональнийцентрпрофесйнотехнчнаосвт,"2021, 2022, 2023, 2024, 2025"
"ДПТНЗ ""Дніпровський регіональний центр професійно-технічної освіти"" (корпус №2)",професійно-технічне училище відповідного профілю,05536076,UA12020010010757287,1210137800,city,дптнзднпровськийрегональнийцентрпрофесйнотехнчнаосвт,2018
Дніпропетровський регіональний центр професійно-технічної освіти (корпус №1),професійно-технічне училище відповідного профілю,05536076,UA12020010010816623,1210136600,city,днпропетровськийрегональнийцентрпрофесйнотехнчнаосвт,2018
"Державний професійно-технічний навчальний заклад ""Дніпровський регіональний центр професійно-технічної освіти""",центр професійно-технічної освіти,05536076,UA12020010010816623,1210136600,city,державнийпрофесйнотехнчнийнавчальнийзакладднпровськийрегональнийцентрпрофесйнотехнчнаосвт,"2019, 2020"
Коростишівський професійний аграрний ліцей. Спеціалізоване відділення №2,заклад професійної (професійно-технічної) освіти,05536413,UA18040610330073912,1825888201,village,коростишвськийпрофесйнийаграрнийлцейспецалзованевддленя2,2021
Коростишівський професійний аграрний ліцей. Спеціалізоване відділення №1,заклад професійної (професійно-технічної) освіти,05536413,UA18020010010097402,1820310100,town,коростишвськийпрофесйнийаграрнийлцейспецалзованевддленя1,"2021, 2022"
Коростишівський професійний аграрний ліцей,професійно-технічне училище відповідного профілю,05536413,UA18040250010085012,1822510100,town,коростишвськийпрофесйнийаграрнийлце,"2018, 2019, 2020"
Коростишівський професійний аграрний ліцей,заклад професійної (професійно-технічної) освіти,05536413,UA18040250010085012,1822510100,town,коростишвськийпрофесйнийаграрнийлце,"2021, 2022, 2023, 2024"
"Заклад професійної (професійно-технічної) освіти “Коростишівський професійний коледж""",заклад професійної (професійно-технічної) освіти,05536413,UA18040250010085012,1822510100,town,закладпрофесйнаосвтикоростишвськийпрофесйнийколед,2025
Миколаївський професійний ліцей,професійний ліцей відповідного профілю,05536975,UA48060150010443183,4810137200,city,миколавськийпрофесйнийлце,"2018, 2019, 2020"
"Державний професійно-технічний навчальний заклад ""Миколаївський професійний ліцей""",заклад професійної (професійно-технічної) освіти,05536975,UA46100110010094231,4623010100,town,державнийпрофесйнотехнчнийнавчальнийзакладмиколавськийпрофесйнийлце,"2021, 2022, 2023, 2024, 2025"
"Державний професійно-технічний навчальний заклад ""Миколаївський професійний ліцей""",професійний ліцей відповідного профілю,05536975,UA46100110010094231,4623010100,town,державнийпрофесйнотехнчнийнавчальнийзакладмиколавськийпрофесйнийлце,"2019, 2020"
Донецьке вище училище олімпійського резерву ім. С.Бубки,спеціалізована школа-інтернат,20361881,UA14020010010059145,1410300000,town,донецькевищеучилищеолмпйськогорезервуменсбубк,2020
Донецьке вище училище олімпійського резерву ім. С. Бубки,спеціалізована школа,20361881,UA14020010010059145,1410300000,town,донецькевищеучилищеолмпйськогорезервуменсбубк,"2017, 2018"
"КОМУНАЛЬНИЙ ЗАКЛАД ""ДОНЕЦЬКИЙ ОБЛАСНИЙ СПЕЦІАЛІЗОВАНИЙ ФАХОВИЙ КОЛЕДЖ СПОРТИВНОГО ПРОФІЛЮ ІМ. С. БУБКИ""",заклад фахової передвищої освіти,20361881,UA53080370010339303,5310137000,city,донецькийобласнийспецалзованийколеджспортивногопрофлюмсбубк,"2023, 2024, 2025"
"КОМУНАЛЬНИЙ ЗАКЛАД ""ДОНЕЦЬКИЙ ОБЛАСНИЙ СПЕЦІАЛІЗОВАНИЙ ФАХОВИЙ КОЛЕДЖ СПОРТИВНОГО ПРОФІЛЮ ІМ. С. БУБКИ",заклад фахової передвищої освіти,20361881,UA14020010010059145,1410300000,town,донецькийобласнийспецалзованийколеджспортивногопрофлюмсбубк,2022
"КОМУНАЛЬНИЙ ЗАКЛАД ""ДОНЕЦЬКИЙ ОБЛАСНИЙ СПЕЦІАЛІЗОВАНИЙ КОЛЕДЖ СПОРТИВНОГО ПРОФІЛЮ ІМ. С. БУБКИ""",спеціалізована школа,20361881,UA14020010010059145,1410300000,town,донецькийобласнийспецалзованийколеджспортивногопрофлюмсбубк,2021
Донецьке вище училище олімпійського резерву ім. С. Бубки,заклад вищої освіти,20361881,UA14020010010059145,1410300000,town,донецькевищеучилищеолмпйськогорезервуменсбубк,2020
"Комунальний заклад ""Донецький обласний спеціалізований фаховий коледж спортивного профілю ім. С. Бубки""",професійний коледж (коледж) спортивного профілю,20361881,UA14020010010059145,1410300000,town,донецькийобласнийспецалзованийколеджспортивногопрофлюменсбубк,2022
ДОНЕЦЬКЕ ВИЩЕ УЧИЛИЩЕ ОЛІМПІЙСЬКОГО РЕЗЕРВУ ІМ.С.БУБКИ,заклад фахової передвищої освіти,20361881,UA14020010010059145,1410300000,town,донецькевищеучилищеолмпйськогорезервумсбубк,"2018, 2019"
"Комунальний заклад ""Донецький обласний спеціалізований коледж спортивного профілю ім. С. Бубки""",заклад фахової передвищої освіти,20361881,UA14020010010059145,1410300000,town,донецькийобласнийспецалзованийколеджспортивногопрофлюменсбубк,2021
Долинський ліцей №4 Долинської міської ради Івано-Франківської області,середня загальноосвітня школа,20565796,UA26060130010099427,2622010100,town,долинськийлцей4долинська,2020
Долинська загальноосвітня школа I-III ступенів №4,середня загальноосвітня школа,20565796,UA26060130010099427,2622010100,town,долинськазагальноосвтняшкола3ступ4,"2016, 2017"
Долинська загальноосвітня школа I-III ступенів №4 Долинської районної ради Івано-Франківської області,середня загальноосвітня школа,20565796,UA26060130010099427,2622010100,town,долинськазагальноосвтняшкола3ступ4долинська,"2018, 2019"
Долинська загальноосвітня школа I-III ступенів №7,середня загальноосвітня школа,20565796,UA26060130010099427,2622010100,town,долинськазагальноосвтняшкола3ступ7,"2016, 2017"
Долинський ліцей №4 Долинської міської ради Івано-Франківської області,ліцей,20565796,UA26060130010099427,2622010100,town,долинськийлцей4долинська,"2021, 2022, 2023, 2024, 2025"
"Криворізький юридичний фаховий коледж Національного університету ""Одеська юридична академія""",заклад фахової передвищої освіти,20933314a,UA12060170010378670,1211036300,city,криворзькийюридичнийколеджнацональногоунверситетуодеськаюридичнаакадем,"2021, 2022, 2023, 2024, 2025"
"Криворізький юридичний коледж Національного університету ""Одеська юридична академія""",заклад вищої освіти,20933314a,UA12060170010378670,1211036300,city,криворзькийюридичнийколеджнацональногоунверситетуодеськаюридичнаакадем,"2019, 2020"
"Криворізький юридичний коледж Національного університету ""Одеська юридична академія""",вищий навчальний заклад I-II рівнів акредитації,20933314a,UA12060170010378670,1211036300,city,криворзькийюридичнийколеджнацональногоунверситетуодеськаюридичнаакадем,2018
"Криворізький факультет Національного університету ""Одеська юридична академія""",вищий навчальний заклад III-IV рівнів акредитації,20933314a,UA12060170010378670,1211036300,city,криворзькийфакультетнацональногоунверситетуодеськаюридичнаакадем,2025
"Середня загальноосвітня школа-інтернат ІІ-ІІІ ступенів з профільним навчанням Комунального закладу""Херсонський фаховий спортивний коледж"" Херсонської обласної ради",середня загальноосвітня школа,21295614,UA65100150010361097,6510136900,city,середнязагальноосвтняшколантернат3ступзпрофльнимнавчанямхерсонськийспортивнийколеджхерсонськаобласно,2021
Середня загальноосвітня школа-інтернат ІІ-ІІІ ступенів з профільним навчанням Херсонського вищого училища фізичної культури Херсонської обласної ради,середня загальноосвітня школа-інтернат,21295614,UA65100150010361097,6510136900,city,середнязагальноосвтняшколантернат3ступзпрофльнимнавчанямхерсонськоговищогоучилищафзичнакультурихерсонськаобласно,"2016, 2017, 2018, 2019, 2020"
"Комунальний заклад""Херсонський фаховий спортивний коледж"" Херсонської обласної ради",середня загальноосвітня школа,21295614,UA65100150010361097,6510136900,city,херсонськийспортивнийколеджхерсонськаобласно,"2022, 2023, 2024, 2025"
"Комунальний заклад ""Херсонський фаховий спортивний коледж"" Херсонської обласної ради",заклад фахової передвищої освіти,21295614,UA65100150010361097,6510136900,city,херсонськийспортивнийколеджхерсонськаобласно,"2024, 2025"
"Комунальний заклад ""Херсонський фаховий спортивний коледж"" Херсонської обласної ради",заклад фахової передвищої освіти,21295614,UA46060250010515336,4610136900,city,херсонськийспортивнийколеджхерсонськаобласно,2023
Чуднівська гімназія,середня загальноосвітня школа,22067855,UA18040610010066897,1825810100,town,чуднвськагмназ,2016
Чуднівський ліцей №2 Чуднівської міської ради Житомирської області,середня загальноосвітня школа,22067855,UA18040610010066897,1825810100,town,чуднвськийлцей2чуднвська,2023
Чуднівська загальноосвітня школа I-III ступенів №2 Чуднівської міської ради Житомирської області,середня загальноосвітня школа,22067855,UA18040610010066897,1825810100,town,чуднвськазагальноосвтняшкола3ступ2чуднвська,"2021, 2022"
Чуднівська загальноосвітня школа I-III ступенів №2,середня загальноосвітня школа,22067855,UA18040610010066897,1825810100,town,чуднвськазагальноосвтняшкола3ступ2,"2016, 2017, 2018, 2019, 2020"
"Комунальний вищий навчальний заклад ""Прикарпатський лісогосподарський коледж""",заклад вищої освіти,22178017,UA26060010010092713,2610200000,town,комунальнийвищийнавчальнийзакладприкарпатськийлсогосподарськийколед,"2019, 2020"
"Комунальний вищий навчальний заклад ""Прикарпатський лісогосподарський коледж""",вищий навчальний заклад I-II рівнів акредитації,22178017,UA26060010010092713,2610200000,town,комунальнийвищийнавчальнийзакладприкарпатськийлсогосподарськийколед,2018
Прикарпатський фаховий коледж лісовго господарства та туризму,заклад фахової передвищої освіти,22178017,UA26060010010092713,2610200000,town,прикарпатськийколеджлсовгогосподарствататуризм,"2021, 2022, 2023"
Прикарпатський фаховий коледж лісового господарства та туризму,заклад фахової передвищої освіти,22178017,UA26060010010092713,2610200000,town,прикарпатськийколеджлсовогогосподарствататуризм,"2023, 2024, 2025"
"КОМУНАЛЬНИЙ ЗАКЛАД КИЇВСЬКОЇ ОБЛАСНОЇ РАДИ ""КИЇВСЬКИЙ ОБЛАСНИЙ СПОРТИВНИЙ ФАХОВИЙ КОЛЕДЖ""",заклад фахової передвищої освіти,22208066,UA32060050010081797,3210600000,town,кивськаобласнакивськийобласнийспортивнийколед,"2023, 2024, 2025"
"Комунальний заклад Київської обласної ради ""Броварський спортивний фаховий коледж""",середня загальноосвітня школа,22208066,UA32060050010081797,3210600000,town,кивськаобласнаброварськийспортивнийколед,"2021, 2022, 2023"
"Комунальний вищий навчальний заклад Київської обласної ради ""Броварське вище училище фізичної культури""",середня загальноосвітня школа,22208066,UA32060050010081797,3210600000,town,комунальнийвищийнавчальнийзакладкивськаобласнаброварськевищеучилищефзичнакультур,"2016, 2017, 2018, 2019, 2020"
"Комунальний заклад фахової передвищої освіти "" Миколаївський фаховий коледж фізичної культури""",заклад фахової передвищої освіти,22440981,UA48060150010139573,4810136300,city,фаховапередвищаосвтимиколавськийколеджфзичнакультур,"2022, 2023"
"""Комунальний заклад фахової перевищої освіти "" Миколаївський фаховий коледж фізичної культури""",заклад фахової передвищої освіти,22440981,UA48060150010139573,4810136300,city,фаховаперевищаосвтимиколавськийколеджфзичнакультур,2021
Миколаївське вище училище фізичної культури,заклад вищої освіти,22440981,UA48060150010139573,4810136300,city,миколавськевищеучилищефзичнакультур,"2019, 2020"
"Комунальний заклад фахової передвищої освіти ""Миколаївський фаховий коледж фізичної культури"" Миколаївської обласної ради",заклад фахової передвищої освіти,22440981,UA48060150010139573,4810136300,city,фаховапередвищаосвтимиколавськийколеджфзичнакультуримиколавськаобласно,"2023, 2024, 2025"
Миколаївське вище училище фізичної культури,вищий навчальний заклад I-II рівнів акредитації,22440981,UA48060150010139573,4810136300,city,миколавськевищеучилищефзичнакультур,2018
Сарненська загальноосвітня школа І-ІІІ ступенів №4 Сарненської районної ради Рівненської області,середня загальноосвітня школа,22558725,UA56080170010061049,5625410100,town,сарненськазагальноосвтняшкола3ступ4сарненська,"2016, 2017, 2018, 2019, 2020"
Сарненський ліцей №4 Сарненської міської ради Сарненського району Рівненської області,ліцей,22558725,UA56080170010061049,5625410100,town,сарненськийлцей4сарненська,"2022, 2023, 2024, 2025"
Сарненський ліцей № 4 Сарненської міської ради Сарненського району Рівненської області,ліцей,22558725,UA56080170010061049,5625410100,town,сарненськийлцей4сарненська,2023
Сарненський ліцей №4 Сарненської міської ради Сарненського району Рівненської області,середня загальноосвітня школа,22558725,UA56080170010061049,5625410100,town,сарненськийлцей4сарненська,2021
Любимівський заклад повної загальної середньої освіти Нововоронцовської селищної ради,середня загальноосвітня школа,22760881,UA65020150020078280,6524182801,village,любимвськийзакладповназагальнасередньаосвтинововоронцовська,"2021, 2022, 2023, 2024, 2025"
Любимівська загальноосвітня школа I-III ступенів Любимівської сільської ради Нововоронцовського району Херсонської області,середня загальноосвітня школа,22760881,UA65020150020078280,6524182801,village,любимвськазагальноосвтняшкола3ступлюбимвська,"2016, 2017, 2018, 2019, 2020"
Комунальний заклад Любимівська  загальноосвітня школа,середня загальноосвітня школа,22760881,UA12020050010036263,1221484001,village,любимвськазагальноосвтняшкол,2017
Орільський ліцей Лозівської районної ради Харківської області,середня загальноосвітня школа,24676096,UA63100050030074292,6323955700,urban village,орльськийлцейлозвська,2019
Комунальний заклад «Орільський ліцей» Лозівської міської ради Харківської області,ліцей,24676096,UA63100050030074292,6323955700,urban village,орльськийлцейлозвська,"2021, 2022, 2023, 2024, 2025"
Орільський начально-виховний комплекс Лозівської районної ради,навчально-виховний комплекс,24676096,UA63100050030074292,6323955700,urban village,орльськийначальновиховнийкомплекслозвська,"2016, 2017"
Орільська загальноосвітня школа І-ІІІ ступенів Лозівської районної ради Харківської області,середня загальноосвітня школа,24676096,UA63100050030074292,6323955700,urban village,орльськазагальноосвтняшкола3ступлозвська,2018
Орільська загальноосвітня школа І-ІІІ ступенів Лозівської районної ради,середня загальноосвітня школа,24676096,UA63100050030074292,6323955700,urban village,орльськазагальноосвтняшкола3ступлозвська,2016
Орільський ліцей Лозівської районної ради Харківської області,ліцей,24676096,UA63100050030074292,6323955700,urban village,орльськийлцейлозвська,2020
"Відокремлений підрозділ ""Костопільський фаховий медичний коледж"" комунального закладу вищої освіти ""Рівненська медична академія"" Рівненської обласної ради",заклад фахової передвищої освіти,25833244,UA56060350010063070,5623410100,town,вдокремленийпдроздлкостопльськиймедичнийколеджвищаосвтирвненськамедичнаакадемярвненськаобласно,"2023, 2024, 2025"
"Відокремлений підрозділ ""Костопільський медичний коледж Комунального закладу вищої освіти ""Рівненська медична академія"" Рівненської обласної ради""",заклад вищої освіти,25833244,UA56060350010063070,5623410100,town,вдокремленийпдроздлкостопльськиймедичнийколеджвищаосвтирвненськамедичнаакадемярвненськаобласно,2020
"Відокремлений підрозділ ""Костопільський медичний коледж"" комунального закладу вищої освіти ""Рівненська медична академія"" Рівненської обласної ради",заклад вищої освіти,25833244,UA56060350010063070,5623410100,town,вдокремленийпдроздлкостопльськиймедичнийколеджвищаосвтирвненськамедичнаакадемярвненськаобласно,2019
"Фаховий медичний коледж КЗВО ""Рівненська медична академія"" Рівненської обласної ради",заклад фахової передвищої освіти,25833244,UA56060470010041018,5610100000,town,медичнийколеджкзворвненськамедичнаакадемярвненськаобласно,"2021, 2022"
Костопільська філія Рівненського державного базового медичного коледжу,вищий навчальний заклад I-II рівнів акредитації,25833244,UA56060350010063070,5623410100,town,костопльськафлярвненськогодержавногобазовогомедичногоколедж,2018
"Відокремлений підрозділ ""Костопільський фаховий медичний коледж"" Комунального закладу вищої освіти ""Рівненська медична академія"" Рівненської обласної ради",заклад фахової передвищої освіти,25833244,UA56060350010063070,5623410100,town,вдокремленийпдроздлкостопльськиймедичнийколеджвищаосвтирвненськамедичнаакадемярвненськаобласно,"2021, 2022"
"Фаховий медичний коледж комунального закладу вищої освіти ""Рівненська медична академія"" Рівненської обласної ради",заклад фахової передвищої освіти,25833244,UA56060470010041018,5610100000,town,медичнийколеджвищаосвтирвненськамедичнаакадемярвненськаобласно,2023
Корсунь-Шевченківський ліцей Корсунь-Шевченківської міської ради Черкаської області,ліцей,33246632,UA71080170010098381,7122510100,town,корсуньшевченквськийлцейкорсуньшевченквська,"2024, 2025"
Корсунь-Шевченківська гімназія Корсунь-Шевченківської міської ради Черкаської області,ліцей,33246632,UA71080170010098381,7122510100,town,корсуньшевченквськагмназякорсуньшевченквська,2024
Корсунь-Шевченківська гімназія Корсунь-Шевченківської міської ради Черкаської області,гімназія,33246632,UA71080170010098381,7122510100,town,корсуньшевченквськагмназякорсуньшевченквська,"2022, 2023"
Гімназія Корсунь-Шевченківської районної ради Черкаської області,гімназія,33246632,UA71080170010098381,7122510100,town,гмназякорсуньшевченквська,"2016, 2017, 2018, 2019, 2020, 2021"
