eoname,eotypename,eoedrpou,KATOTTG,KOATUU,category,id,years
Слов’янський енергобудівний фаховий коледж,заклад фахової передвищої освіти,00129343,UA71080490010144486,7110136400,city,словянськийенергобудвнийколед,"2023, 2024, 2025"
Слов'янський енергобудівний технікум,вищий навчальний заклад I-II рівнів акредитації,00129343,UA14120210010032554,1414100000,town,словянськийенергобудвнийтехнку,2018
"Державний вищий навчальний заклад ""Дрогобицький коледж нафти і газу""",заклад вищої освіти,00146896,UA46020030010069501,4610600000,town,державнийвищийнавчальнийзакладдрогобицькийколеджнафтигаз,"2019, 2020, 2021"
"Комунальний заклад Львівської обласної ради ""Дрогобицький фаховий коледж нафти і газу""",заклад фахової передвищої освіти,00146896,UA46020030010069501,4610600000,town,льввськаобласнадрогобицькийколеджнафтигаз,2025
Дрогобицький фаховий коледж нафти і газу,заклад фахової передвищої освіти,00146896,UA46020030010069501,4610600000,town,дрогобицькийколеджнафтигаз,"2022, 2023, 2024"
Лисичанський державний гірничо-індустріальний коледж,вищий навчальний заклад I-II рівнів акредитації,00173290,UA44120050010021900,4411800000,town,лисичанськийдержавнийгрничондустральнийколед,2018
Лисичанський гірничо-індустріальний фаховий коледж,заклад фахової передвищої освіти,00173290,UA44120050010021900,4411800000,town,лисичанськийгрничондустральнийколед,"2022, 2025"
Лисичанський гірничо-індустріальний фаховий коледж,заклад фахової передвищої освіти,00173290,UA71080490010259590,7110136700,city,лисичанськийгрничондустральнийколед,2023
Лисичанський державний гірничо-індустріальний коледж,заклад фахової передвищої освіти,00173290,UA44120050010021900,4411800000,town,лисичанськийдержавнийгрничондустральнийколед,2021
Лисичанський державний гірничо-індустріальний коледж,заклад вищої освіти,00173290,UA44120050010021900,4411800000,town,лисичанськийдержавнийгрничондустральнийколед,"2019, 2020"
"Відокремлений структурний підрозділ ""Дружківський фаховий коледж Донбаської державної машинобудівної академії""",заклад фахової передвищої освіти,00173367,UA12020010010512802,1210136900,city,дружквськийколедждонбаськадержавнамашинобудвнаакадем,"2023, 2024, 2025"
Дружківський фаховий коледж Донбаської державної машинобудівної академії,заклад фахової передвищої освіти,00173367,UA14120030010055241,1411700000,town,дружквськийколедждонбаськадержавнамашинобудвнаакадем,"2021, 2022"
Дружківський технікум Донбаської державної машинобудівної академії,заклад вищої освіти,00173367,UA14120030010055241,1411700000,town,дружквськийтехнкумдонбаськадержавнамашинобудвнаакадем,"2019, 2020"
Дружківський технікум Донбаської державної машинобудівної академії,вищий навчальний заклад I-II рівнів акредитації,00173367,UA14120030010055241,1411700000,town,дружквськийтехнкумдонбаськадержавнамашинобудвнаакадем,2018
Селидівський політехнічний фаховий коледж,заклад фахової передвищої освіти,00173410,UA14160230010080205,1413800000,town,селидвськийполтехнчнийколед,2022
Селидівський політехнічний фаховий коледж,заклад фахової передвищої освіти,00173410,UA46120130010071117,4611800000,town,селидвськийполтехнчнийколед,"2023, 2024, 2025"
Селидівський гірничий технікум,заклад вищої освіти,00173410,UA14160230010080205,1413800000,town,селидвськийгрничийтехнку,"2019, 2020, 2021"
Селидівський гірничий технікум,вищий навчальний заклад I-II рівнів акредитації,00173410,UA14160230010080205,1413800000,town,селидвськийгрничийтехнку,2018
Донбаський державний коледж технологій та управління,заклад вищої освіти,00173462,UA14020110010025394,1411200000,town,донбаськийдержавнийколеджтехнологйтауправлн,"2019, 2020, 2021"
Донбаський державний коледж технологій та управління,заклад вищої освіти,00173462,UA12040150010118924,1210436600,city,донбаськийдержавнийколеджтехнологйтауправлн,2023
Донбаський фаховий коледж технологій та управління,заклад фахової передвищої освіти,00173462,UA12040150010118924,1210436600,city,донбаськийколеджтехнологйтауправлн,2024
Донбаський державний коледж технологій та управління,заклад фахової передвищої освіти,00173462,UA14020110010025394,1411200000,town,донбаськийдержавнийколеджтехнологйтауправлн,2022
"Державний вищий навчальний заклад ""Червоноградський гірничо-економічний коледж""",заклад фахової передвищої освіти,00173485,UA46120130010071117,4611800000,town,державнийвищийнавчальнийзакладчервоноградськийгрничоекономчнийколед,2021
"Державний вищий навчальний заклад ""Червоноградський гірничо-економічний коледж""",заклад вищої освіти,00173485,UA46120130010071117,4611800000,town,державнийвищийнавчальнийзакладчервоноградськийгрничоекономчнийколед,"2019, 2020"
Червоноградський гірничо-економічний фаховий коледж,заклад фахової передвищої освіти,00173485,UA46120130010071117,4611800000,town,червоноградськийгрничоекономчнийколед,"2022, 2023, 2024, 2025"
"Державний вищий навчальний заклад ""Червоноградський гірничо-економічний коледж""",вищий навчальний заклад I-II рівнів акредитації,00173485,UA46120130010071117,4611800000,town,державнийвищийнавчальнийзакладчервоноградськийгрничоекономчнийколед,2018
Криворізький коледж Національної металургійної академії України,вищий навчальний заклад I-II рівнів акредитації,00193269,UA12060170010378670,1211036300,city,криворзькийколеджнацональнаметалургйнаакадемукран,2018
Криворізький коледж Національної металургійної академії України,заклад вищої освіти,00193269,UA12060170010378670,1211036300,city,криворзькийколеджнацональнаметалургйнаакадемукран,"2019, 2020"
Криворізький коледж Національної металургійної академії України,заклад фахової передвищої освіти,00193269,UA12060170010378670,1211036300,city,криворзькийколеджнацональнаметалургйнаакадемукран,2021
"Криворізький коледж економіки та управління Державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",вищий навчальний заклад I-II рівнів акредитації,00193275,UA12060170010439451,1211036600,city,криворзькийколеджекономкитауправлнядержавноговищогонавчальногозакладукивськийнацональнийекономчнийунверситетменвадимагетьман,2018
"Криворізький коледж економіки та управління Державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",заклад вищої освіти,00193275,UA12060170010439451,1211036600,city,криворзькийколеджекономкитауправлнядержавноговищогонавчальногозакладукивськийнацональнийекономчнийунверситетменвадимагетьман,"2019, 2020"
"Криворізький фаховий коледж економіки та управління Державного вищого навчального закладу ""Київський національний економічний університет імені Вадима Гетьмана""",заклад фахової передвищої освіти,00193275,UA12060170010439451,1211036600,city,криворзькийколеджекономкитауправлнядержавноговищогонавчальногозакладукивськийнацональнийекономчнийунверситетменвадимагетьман,2021
Український політехнічний технікум,вищий навчальний заклад I-II рівнів акредитації,00193312,UA12060170010720279,1211037500,city,укранськийполтехнчнийтехнку,2018
Український політехнічний технікум,заклад вищої освіти,00193312,UA12060170010720279,1211037500,city,укранськийполтехнчнийтехнку,"2019, 2020"
Криворізький технічний коледж Національної металургійної академії України,заклад вищої освіти,00193329,UA12060170010378670,1211036300,city,криворзькийтехнчнийколеджнацональнаметалургйнаакадемукран,"2019, 2020, 2021"
Криворізький технічний коледж Національної металургійної академії України,вищий навчальний заклад I-II рівнів акредитації,00193329,UA12060170010378670,1211036300,city,криворзькийтехнчнийколеджнацональнаметалургйнаакадемукран,2018
"Відокремлений структурний підрозділ ""Марганецький фаховий коледж Національного технічного університету ""Дніпровська політехніка""",заклад фахової передвищої освіти,00193364,UA12080010010085669,1211300000,town,марганецькийколеджнацональноготехнчногоунверситетуднпровськаполтехнк,"2021, 2022, 2023, 2024, 2025"
"Марганецький коледж Державного вищого навчального закладу ""Національний гірничий університет""",вищий навчальний заклад I-II рівнів акредитації,00193364,UA12080010010085669,1211300000,town,марганецькийколедждержавноговищогонавчальногозакладунацональнийгрничийунверсите,2018
"Марганецький коледж Національного технічного університету ""Дніпровська політехніка""",заклад вищої освіти,00193364,UA12080010010085669,1211300000,town,марганецькийколеджнацональноготехнчногоунверситетуднпровськаполтехнк,"2019, 2020"
Дніпровський індустріальний фаховий коледж,заклад фахової передвищої освіти,00193387,UA12020010010350200,1210138100,city,днпровськийндустральнийколед,"2023, 2024, 2025"
Дніпровський індустріальний коледж,заклад вищої освіти,00193387,UA12020010010350200,1210138100,city,днпровськийндустральнийколед,"2019, 2020"
Дніпровський індустріальний коледж,заклад фахової передвищої освіти,00193387,UA12020010010350200,1210138100,city,днпровськийндустральнийколед,"2021, 2022"
Дніпровський індустріальний коледж,вищий навчальний заклад I-II рівнів акредитації,00193387,UA12020010010350200,1210138100,city,днпровськийндустральнийколед,2018
"Державний навчальний заклад ""Дніпровський технолого-економічний коледж""",заклад фахової передвищої освіти,00193418,UA12020010010350200,1210138100,city,днпровськийтехнологоекономчнийколед,2021
"Державний навчальний заклад ""Дніпровський технолого-економічний коледж""",заклад вищої освіти,00193418,UA12020010010350200,1210138100,city,днпровськийтехнологоекономчнийколед,"2019, 2020"
Дніпровський технолого-економічний фаховий коледж,заклад фахової передвищої освіти,00193418,UA12020010010350200,1210138100,city,днпровськийтехнологоекономчнийколед,"2022, 2023, 2024, 2025"
"Державний навчальний заклад ""Дніпровський технолого-економічний коледж""",вищий навчальний заклад I-II рівнів акредитації,00193418,UA12020010010350200,1210138100,city,днпровськийтехнологоекономчнийколед,2018
Нікопольський технікум Національної металургійної академії України,заклад вищої освіти,00193424,UA12080050010010114,1211600000,town,нкопольськийтехнкумнацональнаметалургйнаакадемукран,"2019, 2020"
Нікопольський міський базовий технікум Національної металургійної академії України,вищий навчальний заклад I-II рівнів акредитації,00193424,UA12080050010010114,1211600000,town,нкопольськийийбазовийтехнкумнацональнаметалургйнаакадемукран,2018
Нікопольський фаховий коледж Національної металургійної академії України,заклад фахової передвищої освіти,00193424,UA12080050010010114,1211600000,town,нкопольськийколеджнацональнаметалургйнаакадемукран,2021
Новомосковський коледж Національної металургійної академії України,заклад вищої освіти,00193430,UA12100070010038698,1211900000,town,новомосковськийколеджнацональнаметалургйнаакадемукран,"2019, 2020"
Новомосковський фаховий коледж Національної металургійної академії України,заклад фахової передвищої освіти,00193430,UA12100070010038698,1211900000,town,новомосковськийколеджнацональнаметалургйнаакадемукран,2021
Новомосковський коледж Національної металургійної академії України,вищий навчальний заклад I-II рівнів акредитації,00193430,UA12100070010038698,1211900000,town,новомосковськийколеджнацональнаметалургйнаакадемукран,2018
Придніпровський металургійний фаховий коледж,заклад фахової передвищої освіти,00193447,UA12040150010213957,1210436900,city,приднпровськийметалургйнийколед,"2023, 2024, 2025"
Придніпровський державний металургійний коледж,вищий навчальний заклад I-II рівнів акредитації,00193447,UA12040150010213957,1210436900,city,приднпровськийдержавнийметалургйнийколед,2018
Придніпровський державний металургійний коледж,заклад вищої освіти,00193447,UA12040150010213957,1210436900,city,приднпровськийдержавнийметалургйнийколед,"2019, 2020"
Придніпровський державний металургійний коледж,заклад фахової передвищої освіти,00193447,UA12040150010213957,1210436900,city,приднпровськийдержавнийметалургйнийколед,"2021, 2022"
"Відокремлений структурний підрозділ ""Маріупольський політехнічний фаховий коледж Державного вищого навчального закладу ""Приазовський державний технічний університет""",заклад фахової передвищої освіти,00193559,UA12020010010512802,1210136900,city,марупольськийполтехнчнийколедждержавноговищогонавчальногозакладуприазовськийдержавнийтехнчнийунверсите,"2023, 2025"
"Відокремлений структурний підрозділ ""Маріупольський політехнічний фаховий коледж Державного вищого навчального закладу ""Приазовський державний технічний університет""",заклад фахової передвищої освіти,00193559,UA14140050010258579,1412336900,city,марупольськийполтехнчнийколедждержавноговищогонавчальногозакладуприазовськийдержавнийтехнчнийунверсите,2022
"Відокремлений структурний підрозділ ""Маріупольський політехнічний фаховий коледж Державного вищого навчального закладу ""Приазовський державний технічний університет""",заклад вищої освіти,00193559,UA14140050010258579,1412336900,city,марупольськийполтехнчнийколедждержавноговищогонавчальногозакладуприазовськийдержавнийтехнчнийунверсите,2021
Маріупольський механіко-металургійний коледж Державного вищого навчального закладу«Приазовський державний технічний університет»,заклад вищої освіти,00193559,UA14140050010258579,1412336900,city,марупольськиймеханкометалургйнийколедждержавноговищогонавчальногозакладуприазовськийдержавнийтехнчнийунверсите,"2019, 2020"
Маріупольський механіко-металургійний коледж Державного вищого навчального закладу«Приазовський державний технічний університет»,вищий навчальний заклад I-II рівнів акредитації,00193559,UA14140050010258579,1412336900,city,марупольськиймеханкометалургйнийколедждержавноговищогонавчальногозакладуприазовськийдержавнийтехнчнийунверсите,2018
Дніпрорудненський індустріальний коледж,заклад вищої освіти,00193594,UA23060070010154443,2310137200,city,днпрорудненськийндустральнийколед,2023
Дніпрорудненський індустріальний фаховий коледж,заклад фахової передвищої освіти,00193594,UA23060070010154443,2310137200,city,днпрорудненськийндустральнийколед,2024
Дніпрорудненський індустріальний фаховий коледж,заклад фахової передвищої освіти,00193594,UA23040090010050034,2320910400,town,днпрорудненськийндустральнийколед,2025
Дніпрорудненський індустріальний технікум,вищий навчальний заклад I-II рівнів акредитації,00193594,UA23040090010050034,2320910400,town,днпрорудненськийндустральнийтехнку,2018
Дніпрорудненський індустріальний коледж,заклад фахової передвищої освіти,00193594,UA23040090010050034,2320910400,town,днпрорудненськийндустральнийколед,"2021, 2022"
Дніпрорудненський індустріальний коледж,заклад вищої освіти,00193594,UA23040090010050034,2320910400,town,днпрорудненськийндустральнийколед,"2019, 2020"
"Державний вищий навчальний заклад "" Київський механіко-технологічний коледж""",вищий навчальний заклад I-II рівнів акредитації,00193602,UA80000000000479391,8036600000,city,державнийвищийнавчальнийзакладкивськиймеханкотехнологчнийколед,2018
"Державний вищий навчальний заклад "" Київський механіко-технологічний коледж""",заклад вищої освіти,00193602,UA80000000000479391,8036600000,city,державнийвищийнавчальнийзакладкивськиймеханкотехнологчнийколед,"2019, 2020, 2021"
Київський механіко-технологічний фаховий коледж,заклад фахової передвищої освіти,00193602,UA80000000000479391,8036600000,city,кивськиймеханкотехнологчнийколед,"2022, 2023, 2024, 2025"
Вільногірський фаховий коледж Національної металургійної академії України,заклад фахової передвищої освіти,00200756,UA12040090010047409,1210200000,town,вльногрськийколеджнацональнаметалургйнаакадемукран,2021
Вільногірський коледж Національної металургійної академії України,заклад вищої освіти,00200756,UA12040090010047409,1210200000,town,вльногрськийколеджнацональнаметалургйнаакадемукран,"2019, 2020"
Вільногірський коледж Національної металургійної академії України,вищий навчальний заклад I-II рівнів акредитації,00200756,UA12040090010047409,1210200000,town,вльногрськийколеджнацональнаметалургйнаакадемукран,2018
"Відокремлений структурний підрозділ ""Сєвєродонецький політехнічний фаховий коледж Східноукраїнського національного університету імені Володимира Даля""",заклад фахової передвищої освіти,00208736,UA44120110010072887,4412900000,town,свродонецькийполтехнчнийколеджсхдноукранськогонацональногоунверситетуменволодимирадал,"2021, 2022"
Сєвєродонецький хіміко-механічний технікум Східноукраїнського національного університету імені Володимира Даля,вищий навчальний заклад I-II рівнів акредитації,00208736,UA44120110010072887,4412900000,town,свродонецькийхмкомеханчнийтехнкумсхдноукранськогонацональногоунверситетуменволодимирадал,2018
Сєвєродонецький хіміко-механічний технікум Східноукраїнського національного університету імені Володимира Даля,заклад вищої освіти,00208736,UA44120110010072887,4412900000,town,свродонецькийхмкомеханчнийтехнкумсхдноукранськогонацональногоунверситетуменволодимирадал,"2019, 2020"
"Відокремлений структурний підрозділ ""Сєвєродонецький політехнічний фаховий коледж Східноукраїнського національного університету імені Володимира Даля""",заклад фахової передвищої освіти,00208736,UA12020010010512802,1210136900,city,свродонецькийполтехнчнийколеджсхдноукранськогонацональногоунверситетуменволодимирадал,"2023, 2024, 2025"
Дніпровський політехнічний фаховий коледж,заклад фахової передвищої освіти,00208746,UA12020010010350200,1210138100,city,днпровськийполтехнчнийколед,"2023, 2024, 2025"
Дніпровський політехнічний коледж,заклад вищої освіти,00208746,UA12020010010350200,1210138100,city,днпровськийполтехнчнийколед,"2019, 2020"
Дніпровський політехнічний коледж,заклад фахової передвищої освіти,00208746,UA12020010010350200,1210138100,city,днпровськийполтехнчнийколед,"2021, 2022"
Дніпровський політехнічний коледж,вищий навчальний заклад I-II рівнів акредитації,00208746,UA12020010010350200,1210138100,city,днпровськийполтехнчнийколед,2018
Технологічний коледж Дніпровського державного технічного університету,заклад вищої освіти,00208752,UA12040150010395824,1210436300,city,технологчнийколеджднпровськогодержавноготехнчногоунверситет,"2019, 2020"
Технологічний коледж Дніпровського державного технічного університету,вищий навчальний заклад I-II рівнів акредитації,00208752,UA12040150010395824,1210436300,city,технологчнийколеджднпровськогодержавноготехнчногоунверситет,2018
"Відокремлений структурний підрозділ ""Технологічний фаховий коледж Дніпровського державного технічного університету""",заклад фахової передвищої освіти,00208752,UA12040150010395824,1210436300,city,технологчнийколеджднпровськогодержавноготехнчногоунверситет,"2021, 2022"
Відокремлений структурний підрозділ «Технологічний фаховий коледж Дніпровського державного технічного університету»,заклад фахової передвищої освіти,00208752,UA12040150010395824,1210436300,city,технологчнийколеджднпровськогодержавноготехнчногоунверситет,"2023, 2024, 2025"
Слов'янський хіміко-механічний технікум,заклад вищої освіти,00208775,UA14120210010032554,1414100000,town,словянськийхмкомеханчнийтехнку,"2019, 2020, 2021, 2022"
Слов'янський хіміко-механічний технікум,вищий навчальний заклад I-II рівнів акредитації,00208775,UA14120210010032554,1414100000,town,словянськийхмкомеханчнийтехнку,2018
Слов’янський фаховий коледж індустрії та фармації,заклад фахової передвищої освіти,00208775,UA14120210010032554,1414100000,town,словянськийколеджндустртафармац,2025
Слов’янський фаховий коледж індустрії та фармації,заклад фахової передвищої освіти,00208775,UA12020010010512802,1210136900,city,словянськийколеджндустртафармац,"2023, 2024"
"Державний вищий навчальний заклад ""Калуський політехнічний коледж""",заклад вищої освіти,00208781,UA26060170010082672,2610400000,town,державнийвищийнавчальнийзакладкалуськийполтехнчнийколед,"2019, 2020"
"Калуський фаховий політехнічний коледж (Державний вищий навчальний заклад ""Калуський політехнічний коледж"")",заклад фахової передвищої освіти,00208781,UA26060170010082672,2610400000,town,калуськийполтехнчнийколед,2021
"Державний вищий навчальний заклад ""Калуський політехнічний коледж""",вищий навчальний заклад I-II рівнів акредитації,00208781,UA26060170010082672,2610400000,town,державнийвищийнавчальнийзакладкалуськийполтехнчнийколед,2018
Калуський політехнічний фаховий коледж,заклад фахової передвищої освіти,00208781,UA26060170010082672,2610400000,town,калуськийполтехнчнийколед,"2023, 2024, 2025"
"Калуський політехнічний фаховий коледж (Державний вищий навчальний заклад ""Калуський політехнічний коледж"")",заклад фахової передвищої освіти,00208781,UA26060170010082672,2610400000,town,калуськийполтехнчнийколед,2022
"Державний вищий навчальний заклад ""Новороздільський політехнічний коледж""",заклад вищої освіти,00208798,UA46100150010069811,4610800000,town,державнийвищийнавчальнийзакладновороздльськийполтехнчнийколед,"2019, 2020, 2021"
"Державний вищий навчальний заклад ""Новороздільський політехнічний коледж""",вищий навчальний заклад I-II рівнів акредитації,00208798,UA46100150010069811,4610800000,town,державнийвищийнавчальнийзакладновороздльськийполтехнчнийколед,2018
Новороздільський політехнічний фаховий коледж,заклад фахової передвищої освіти,00208798,UA46100150010069811,4610800000,town,новороздльськийполтехнчнийколед,"2022, 2023, 2024, 2025"
Олександрійський політехнічний коледж,заклад вищої освіти,00216194,UA35080050010051027,3510300000,town,олександрйськийполтехнчнийколед,"2019, 2020"
"Державний вищий навчальний заклад ""Олександрійський політехнічний коледж""",вищий навчальний заклад I-II рівнів акредитації,00216194,UA35080050010051027,3510300000,town,державнийвищийнавчальнийзакладолександрйськийполтехнчнийколед,2018
Олександрійський політехнічний коледж,заклад фахової передвищої освіти,00216194,UA35080050010051027,3510300000,town,олександрйськийполтехнчнийколед,2021
Олександрійський політехнічний фаховий коледж,заклад фахової передвищої освіти,00216194,UA35080050010051027,3510300000,town,олександрйськийполтехнчнийколед,"2022, 2023, 2024, 2025"
"Відокремлений структурний підрозділ ""Полтавський політехнічний фаховий коледж Національного технічного університету ""Харківський політехнічний інститут""",заклад вищої освіти,00216208,UA53080370010339303,5310137000,city,полтавськийполтехнчнийколеджнацональноготехнчногоунверситетухарквськийполтехнчнийнститу,"2023, 2024, 2025"
"Полтавський політехнічний коледж Національного технічного університету ""Харківський політехнічний інститут""",заклад вищої освіти,00216208,UA53080370010339303,5310137000,city,полтавськийполтехнчнийколеджнацональноготехнчногоунверситетухарквськийполтехнчнийнститу,"2019, 2020"
"Відокремлений структурний підрозділ ""Полтавський політехнічний фаховий коледж Національного технічного університету ""Харківський політехнічний інститут""",заклад фахової передвищої освіти,00216208,UA53080370010339303,5310137000,city,полтавськийполтехнчнийколеджнацональноготехнчногоунверситетухарквськийполтехнчнийнститу,"2021, 2022"
"Полтавський політехнічний коледж Національного технічного університету ""Харківський політехнічний інститут""",вищий навчальний заклад I-II рівнів акредитації,00216208,UA53080370010339303,5310137000,city,полтавськийполтехнчнийколеджнацональноготехнчногоунверситетухарквськийполтехнчнийнститу,2018
Електромеханічний фаховий коледж Харківського національного університету міського господарства імені О.М.Бекетова,заклад фахової передвищої освіти,00216214,UA63120270010315719,6310137500,city,електромеханчнийколеджхарквськогонацональногоунверситетугогосподарстваменомбекетов,2021
Електромеханічний коледж Харківського національного університету міського господарства імені О.М.Бекетова,заклад вищої освіти,00216214,UA63120270010315719,6310137500,city,електромеханчнийколеджхарквськогонацональногоунверситетугогосподарстваменомбекетов,"2019, 2020"
Електромеханічний коледж Харківського національного університету міського господарства імені О.М.Бекетова,вищий навчальний заклад I-II рівнів акредитації,00216214,UA63120270010315719,6310137500,city,електромеханчнийколеджхарквськогонацональногоунверситетугогосподарстваменомбекетов,2018
"Відокремлений структурний підрозділ ""Електромеханічний фаховий коледж Харківського національного університету міського господарства імені О.М. Бекетова""",заклад фахової передвищої освіти,00216214,UA63120270010315719,6310137500,city,електромеханчнийколеджхарквськогонацональногоунверситетугогосподарстваменомбекетов,"2023, 2024, 2025"
"Відокремлений структурний підрозділ ""Електромеханічний фаховий коледж Харківського національного університету міського господарства імені О.М.Бекетова""",заклад фахової передвищої освіти,00216214,UA63120270010315719,6310137500,city,електромеханчнийколеджхарквськогонацональногоунверситетугогосподарстваменомбекетов,2022
