eoname,schoolname
Нововолинська гімназія Нововолинської міської ради Волинської області,Нововолинська гімназія Нововолинської міської ради Волинської області
Шаргородська районна гімназія,Шаргородська районна гімназія
"Комунальний заклад ""Вінницький технічний ліцей""","Комунальний заклад ""Вінницький технічний ліцей"""
Комунальний заклад загальної середньої освіти I-III ступенів №3 Жовтоводської міської ради,Комунальний заклад загальної середньої освіти I-III ступенів №3 Жовтоводської міської ради
Марганецька загальноосвітня школа І-ІІІ ступенів № 3 Марганецької міської ради Дніпропетровської області,Марганецька загальноосвітня школа І-ІІІ ступенів № 3 Марганецької міської ради Дніпропетровської області
Марганецька спеціалізована загальноосвітня школа І-ІІІ ступенів № 9 з поглибленим вивченням окремих предметів Марганецької міської ради Дніпропетровської області,Марганецька спеціалізована загальноосвітня школа І-ІІІ ступенів № 9 з поглибленим вивченням окремих предметів Марганецької міської ради Дніпропетровської області
Марганецька гімназія,Марганецька гімназія
"Комунальний заклад освіти ""Середня загальноосвітня школа № 93"" Дніпровської міської ради","Комунальний заклад освіти ""Середня загальноосвітня школа № 93"" Дніпровської міської ради"
"Комунальний заклад освіти ""Середня загальноосвітня школа № 119"" Дніпровської міської ради","Комунальний заклад освіти ""Середня загальноосвітня школа № 119"" Дніпровської міської ради"
Авангардська середня загальноосвітня школа Васильківського району Дніпропетровської області,Авангардська середня загальноосвітня школа Васильківського району Дніпропетровської області
"Комунальний заклад ""Маріупольський міський ліцей Маріупольської міської ради Донецької області""","Комунальний заклад ""Маріупольський міський ліцей Маріупольської міської ради Донецької області"""
Урзуфська загальноосвітня школа І-ІІІ ступенів Першотравневої районної ради Донецької області,Урзуфська загальноосвітня школа І-ІІІ ступенів Першотравневої районної ради Донецької області
Миколаївська загальноосвітня школа І-ІІІ ступенів Покровської районної ради Донецької області,Миколаївська загальноосвітня школа І-ІІІ ступенів Покровської районної ради Донецької області
Комунальний заклад Маріупольський морський ліцей Маріупольської міської ради Донецької області,Комунальний заклад Маріупольський морський ліцей Маріупольської міської ради Донецької області
Катеринівська загальноосвітня школа І-ІІІ ступенів Іллінівської сільської ради Костянтинівського району Донецької області,Катеринівська загальноосвітня школа І-ІІІ ступенів Іллінівської сільської ради Костянтинівського району Донецької області
Іванівська загальноосвітня школа І-ІІІ ступенів Бахмутської районної ради Донецької області,Іванівська загальноосвітня школа І-ІІІ ступенів Бахмутської районної ради Донецької області
Багатопрофільна гімназія Покровської міської ради Донецької області,Багатопрофільна гімназія Покровської міської ради Донецької області
Гродівська загальноосвітня школа І-ІІІ ступенів Покровської районної ради Донецької області,Гродівська загальноосвітня школа І-ІІІ ступенів Покровської районної ради Донецької області
Веселогірська загальноосвітня школа І-ІІІ ступенів Олександрівської районної ради Донецької області,Веселогірська загальноосвітня школа І-ІІІ ступенів Олександрівської районної ради Донецької області
Краматорська загальноосвітня школа I-III ступенів № 24 Краматорської міської ради Донецької області,Краматорська загальноосвітня школа I-III ступенів № 24 Краматорської міської ради Донецької області
Лиманський ліцей Лиманської міської ради Донецької області,Лиманський ліцей Лиманської міської ради Донецької області
Новоекономічна загальноосвітня школа І-ІІІ ступенів Покровської районної ради Донецької області,Новоекономічна загальноосвітня школа І-ІІІ ступенів Покровської районної ради Донецької області
Рай-Олександрівський заклад загальної середньої освіти І-ІІІ ступенів Миколаївської міської ради Слов’янського району Донецької області,Рай-Олександрівський заклад загальної середньої освіти І-ІІІ ступенів Миколаївської міської ради Слов’янського району Донецької області
Опитненська загальноосвітня школа І-ІІІ ступенів Бахмутської районної ради Донецької області,Опитненська загальноосвітня школа І-ІІІ ступенів Бахмутської районної ради Донецької області
Світлодарська загальноосвітня школа І-ІІІ ступенів Бахмутської районної ради Донецької області,Світлодарська загальноосвітня школа І-ІІІ ступенів Бахмутської районної ради Донецької області
Краматорська українська гімназія Краматорської міської ради Донецької області,Краматорська українська гімназія Краматорської міської ради Донецької області
