eoname,schoolname
Рогатинський ліцей №1 Рогатинської районної ради Івано-Франківської області,Рогатинський ліцей №1 Рогатинської районної ради Івано-Франківської області
Калуський ліцей №10 Калуської міської ради Івано-Франківської області,Калуський ліцей №10 Калуської міської ради Івано-Франківської області
Загвіздянський ліцей Загвіздянської сільської ради об'єднаної територіальної громади Тисменицького району Івано-Франківської області,Загвіздянський ліцей Загвіздянської сільської ради об'єднаної територіальної громади Тисменицького району Івано-Франківської області
Великоключівський ліцей Нижньовербізької сільської ради об'єднаної територіальної громади Івано-Франківської області,Великоключівський ліцей Нижньовербізької сільської ради об'єднаної територіальної громади Івано-Франківської області
Яремчанська загальноосвітня школа І-ІІІ ступенів №2 Яремчанської міської ради Івано-Франківської області,Яремчанська загальноосвітня школа І-ІІІ ступенів №2 Яремчанської міської ради Івано-Франківської області
Торговицький ліцей Коломийської районної ради Івано-Франківської області,Торговицький ліцей Коломийської районної ради Івано-Франківської області
Снятинський ліцей імені Василя Стефаника Снятинської районної ради Івано-Франківської області,Снятинський ліцей імені Василя Стефаника Снятинської районної ради Івано-Франківської області
Угринівський ліцей Угринівської сільської ради об'єднаної територіальної громади Тисменицького району Івано-Франківської області,Угринівський ліцей Угринівської сільської ради об'єднаної територіальної громади Тисменицького району Івано-Франківської області
Коломийський ліцей №4 імені Сергія Лисенка Коломийської міської ради Івано-Франківської області,Коломийський ліцей №4 імені Сергія Лисенка Коломийської міської ради Івано-Франківської області
Калуська загальноосвітня школа І-ІІІ ступенів №4 Калуської міської ради Івано-Франківської області,Калуська загальноосвітня школа І-ІІІ ступенів №4 Калуської міської ради Івано-Франківської області
Саджавський ліцей Коломийської міської ради Івано-Франківської області,Саджавський ліцей Коломийської міської ради Івано-Франківської області
Новицький ліцей Новицької сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області,Новицький ліцей Новицької сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області
Перегінська загальноосвітня школа І-ІІІ ступенів №1 Рожнятівської районної ради Івано-Франківської області,Перегінська загальноосвітня школа І-ІІІ ступенів №1 Рожнятівської районної ради Івано-Франківської області
Небилівська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області,Небилівська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області
Печеніжинський ліцей Печеніжинської селищної ради об'єднаної територіальної громади Коломийського району Івано-Франківської області,Печеніжинський ліцей Печеніжинської селищної ради об'єднаної територіальної громади Коломийського району Івано-Франківської області
Кальнянський ліцей імені Михайла Дяка Витвицької сільської ради об'єднаної територіальної громади Долинського району Івано-Франківської області,Кальнянський ліцей імені Михайла Дяка Витвицької сільської ради об'єднаної територіальної громади Долинського району Івано-Франківської області
Краснянська загальноосвітня школа І-ІІІ ступенів Надвірнянської районної ради,Краснянська загальноосвітня школа І-ІІІ ступенів Надвірнянської районної ради
Калуська гімназія імені Дмитра Бахматюка Калуської міської ради Івано-Франківської області,Калуська гімназія імені Дмитра Бахматюка Калуської міської ради Івано-Франківської області
Липовицька загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області,Липовицька загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області
Бурштинська загальноосвітня школа І-ІІІ ступенів №3 Бурштинської міської ради Івано-Франківської області,Бурштинська загальноосвітня школа І-ІІІ ступенів №3 Бурштинської міської ради Івано-Франківської області
Ланчинський ліцей імені Юрія Шкрумеляка Ланчинської селищної ради об'єднаної територіальної громади,Ланчинський ліцей імені Юрія Шкрумеляка Ланчинської селищної ради об'єднаної територіальної громади
